file,title,long_name,author_order_y,shortend_names
import2018_371,Learning Scientific Practices Through Participation as a Volunteer Community Scientist,"Swanson, Rebecca D.",0,Swanson R. D.
import2018_371,Learning Scientific Practices Through Participation as a Volunteer Community Scientist,"Hinojosa, Leighanna",1,Hinojosa L.
import2018_371,Learning Scientific Practices Through Participation as a Volunteer Community Scientist,"Polman, Joseph L",2,Hinojosa L.
import2018_417,Visualizing Complex Classrooms Through Real Time Observations,"Huang, Joey",0,Huang J.
import2018_417,Visualizing Complex Classrooms Through Real Time Observations,"Gomoll, Andrea Sarah",1,Gomoll A. S.
import2018_417,Visualizing Complex Classrooms Through Real Time Observations,"Tolar, Erin",2,Gomoll A. S.
import2018_417,Visualizing Complex Classrooms Through Real Time Observations,"Silver, Cindy Hmelo",3,Tolar E.
import2018_417,Visualizing Complex Classrooms Through Real Time Observations,"Sabanovic, Selma",4,Tolar E.
import2018_403,Opening the Door to Algebra: The Role of Fraction Knowledge in Algebra Learning,"Booth, Julie L.",0,Booth J. L.
import2018_403,Opening the Door to Algebra: The Role of Fraction Knowledge in Algebra Learning,"Newton, Kristie J.",1,Newton K. J.
import2018_403,Opening the Door to Algebra: The Role of Fraction Knowledge in Algebra Learning,"Pendergast, Laura L",2,Newton K. J.
import2018_403,Opening the Door to Algebra: The Role of Fraction Knowledge in Algebra Learning,"Barbieri, Christina",3,Pendergast L. L.
import2018_365,Measuring Maker Mindset: Establishing Content Validity with Card Sorting,"Cohen, Jonathan",0,Cohen J.
import2018_365,Measuring Maker Mindset: Establishing Content Validity with Card Sorting,"Margulieux, Lauren E.",1,Margulieux L. E.
import2018_365,Measuring Maker Mindset: Establishing Content Validity with Card Sorting,"Renken, Maggie",2,Margulieux L. E.
import2018_365,Measuring Maker Mindset: Establishing Content Validity with Card Sorting,"Smith, Shaunna F",3,Renken M.
import2018_365,Measuring Maker Mindset: Establishing Content Validity with Card Sorting,"Jones, W. Monty",4,Renken M.
import2016full_78,Fostering University Freshmen’s Mathematical Argumentation Skills With Collaboration Scripts,"Vogel, Freydis",0,Vogel F.
import2016full_78,Fostering University Freshmen’s Mathematical Argumentation Skills With Collaboration Scripts,"Kollar, Ingo",1,Kollar I.
import2016full_78,Fostering University Freshmen’s Mathematical Argumentation Skills With Collaboration Scripts,"Ufer, Stefan",2,Kollar I.
import2016full_78,Fostering University Freshmen’s Mathematical Argumentation Skills With Collaboration Scripts,"Reiss, Kristina",3,Ufer S.
import2016full_78,Fostering University Freshmen’s Mathematical Argumentation Skills With Collaboration Scripts,"Fischer, Frank",4,Ufer S.
import2016full_50,The Effect of Concrete Materials on Children’s Subsequent Numerical Explanations: Metaphorical Priming,"Manches, Andrew",0,Manches A.
import2016full_50,The Effect of Concrete Materials on Children’s Subsequent Numerical Explanations: Metaphorical Priming,"Dragomir, Mihaela",1,Dragomir M.
import2018_359,“My Favorite Part is When We Tell the Truth”: Identity and Agency in Middle School Youth’s Climate Science Digital Storytelling ,"Walsh, Elizabeth M.",0,Walsh E.
import2018_359,“My Favorite Part is When We Tell the Truth”: Identity and Agency in Middle School Youth’s Climate Science Digital Storytelling ,"Smullen, Elizabeth",1,Smullen E.
import2018_359,“My Favorite Part is When We Tell the Truth”: Identity and Agency in Middle School Youth’s Climate Science Digital Storytelling ,"Cordero, Eugene",2,Smullen E.
import2016full_44,Expanding Outcomes: Exploring Varied Forms of Teacher Learning in an Online Professional Development Experience,"Yurkofsky, Maxwell",0,Yurkofsky M.
import2016full_44,Expanding Outcomes: Exploring Varied Forms of Teacher Learning in an Online Professional Development Experience,"Blum-Smith, Sarah",1,Blum-Smith S.
import2016full_44,Expanding Outcomes: Exploring Varied Forms of Teacher Learning in an Online Professional Development Experience,"Brennan, Karen",2,Blum-Smith S.
import2016full_87,Scaffolding Into Ambitious Teaching: Representations of Practice in Teacher Workgroups,"Brasel, Jason",0,Brasel J.
import2016full_87,Scaffolding Into Ambitious Teaching: Representations of Practice in Teacher Workgroups,"Garner, Brette",1,Garner B.
import2016full_87,Scaffolding Into Ambitious Teaching: Representations of Practice in Teacher Workgroups,"Horn, Ilana Seidel",2,Garner B.
import2018_173,Revising Biology Misconceptions Using Retrieval Practice and Explanation Prompts,"Oliver, Merrin",0,Oliver M.
import2018_173,Revising Biology Misconceptions Using Retrieval Practice and Explanation Prompts,"Renken, Maggie",1,Renken M.
import2018_173,Revising Biology Misconceptions Using Retrieval Practice and Explanation Prompts,"Williams, Joseph",2,Renken M.
import2018_167,Innovative Collaborative Learning Practice: An ‘innovative’ Delphi Approach ,"Luckin, Rose",0,Luckin R.
import2018_167,Innovative Collaborative Learning Practice: An ‘innovative’ Delphi Approach ,"Cukurova, Mutlu",1,Cukurova M.
import2015short_1118,Knowledge Construction in the Instrumented Classroom: Supporting Student Investigations of Their Physical Learning Environment,"Moher, Tom",0,Moher T.
import2015short_1118,Knowledge Construction in the Instrumented Classroom: Supporting Student Investigations of Their Physical Learning Environment,"Slotta, James D.",1,Slotta J. D.
import2015short_1118,Knowledge Construction in the Instrumented Classroom: Supporting Student Investigations of Their Physical Learning Environment,"Acosta, Alisa",2,Slotta J. D.
import2015short_1118,Knowledge Construction in the Instrumented Classroom: Supporting Student Investigations of Their Physical Learning Environment,"Cober, Rebecca",3,Acosta A.
import2015short_1118,Knowledge Construction in the Instrumented Classroom: Supporting Student Investigations of Their Physical Learning Environment,"Dasgupta, Chandan",4,Acosta A.
import2015short_1118,Knowledge Construction in the Instrumented Classroom: Supporting Student Investigations of Their Physical Learning Environment,"Fong, Cresencia",5,Cober R.
import2015short_1118,Knowledge Construction in the Instrumented Classroom: Supporting Student Investigations of Their Physical Learning Environment,"Gnoli, Alessandro",6,Cober R.
import2015short_1118,Knowledge Construction in the Instrumented Classroom: Supporting Student Investigations of Their Physical Learning Environment,"Silva, Alexandra",7,Dasgupta C.
import2015short_1118,Knowledge Construction in the Instrumented Classroom: Supporting Student Investigations of Their Physical Learning Environment,"Silva, Brenda Lopez",8,Dasgupta C.
import2015short_1118,Knowledge Construction in the Instrumented Classroom: Supporting Student Investigations of Their Physical Learning Environment,"Perritano, Anthony",9,Fong C.
import2015short_1118,Knowledge Construction in the Instrumented Classroom: Supporting Student Investigations of Their Physical Learning Environment,"Peppler, Kylie A",10,Fong C.
import2015short_218,Fostering and Reflecting on Diverse Perspective-Taking in Role-Play Utilizing Puppets as the Catalyst Material under CSCL,"Mochizuki, Toshio",0,Mochizuki T.
import2015short_218,Fostering and Reflecting on Diverse Perspective-Taking in Role-Play Utilizing Puppets as the Catalyst Material under CSCL,"Hirayama, Ryoya",1,Hirayama R.
import2015short_218,Fostering and Reflecting on Diverse Perspective-Taking in Role-Play Utilizing Puppets as the Catalyst Material under CSCL,"Wakimoto, Takehiro",2,Hirayama R.
import2015short_218,Fostering and Reflecting on Diverse Perspective-Taking in Role-Play Utilizing Puppets as the Catalyst Material under CSCL,"Sasaki, Hiroshi",3,Wakimoto T.
import2015short_218,Fostering and Reflecting on Diverse Perspective-Taking in Role-Play Utilizing Puppets as the Catalyst Material under CSCL,"Kubota, Yoshihiko",4,Wakimoto T.
import2015short_218,Fostering and Reflecting on Diverse Perspective-Taking in Role-Play Utilizing Puppets as the Catalyst Material under CSCL,"Suzuki, Hideyuki",5,Sasaki H.
import2017_88,Symbiotic Learning Partnerships in Youth Action Sports,"Hollett, Ty",0,Hollett T.
import2017_63,"Explanation-Giving in a Collaborative Tangible Tabletop Game: Initiation, Positionality, Valence, and Action-Orientation","Wise, Alyssa Friend",0,Wise A.
import2017_63,"Explanation-Giving in a Collaborative Tangible Tabletop Game: Initiation, Positionality, Valence, and Action-Orientation","Antle, Alissa Nicole",1,Antle A. N.
import2017_63,"Explanation-Giving in a Collaborative Tangible Tabletop Game: Initiation, Positionality, Valence, and Action-Orientation","Warren, Jillian",2,Antle A. N.
import2018_198,Playing and Designing Games for Systems Thinking: A Design Based Research Project ,"Bell, Amanda M",0,Bell A. M.
import2017_77,CSCL and Vocational Education: A Bond Worthy of Investigation?,"Schwendimann, Beat A.",0,Schwendimann B. A.
import2017_77,CSCL and Vocational Education: A Bond Worthy of Investigation?,"De Wever, Bram",1,Wever B.
import2017_77,CSCL and Vocational Education: A Bond Worthy of Investigation?,"Hämäläinen, Raija",2,Wever B.
import2017_77,CSCL and Vocational Education: A Bond Worthy of Investigation?,"Cattaneo, Alberto A. P.",3,Hämäläinen R.
import2015short_344,Internalization of Physics Concepts and Relationships Based on Teacher Modeling of Collaborative Prompts,"Evenstone, Amanda L.",0,Evenstone A. L.
import2015short_344,Internalization of Physics Concepts and Relationships Based on Teacher Modeling of Collaborative Prompts,"Evenstone, Amanda L.",0,Evenstone A. L.
import2015short_344,Internalization of Physics Concepts and Relationships Based on Teacher Modeling of Collaborative Prompts,"Puntambekar, Sadhana",1,Puntambekar S.
import2015short_344,Internalization of Physics Concepts and Relationships Based on Teacher Modeling of Collaborative Prompts,"Puntambekar, Sadhana",1,Puntambekar S.
import2015short_350,Promoting Interaction by Integrating a Question and Answer Forum with a Digital Textbook,"Walker, Erin",0,Walker E.
import2015short_350,Promoting Interaction by Integrating a Question and Answer Forum with a Digital Textbook,"Chakravarthi, Rohit",1,Chakravarthi R.
import2015short_350,Promoting Interaction by Integrating a Question and Answer Forum with a Digital Textbook,"Rodriguez, James",2,Chakravarthi R.
import2015short_350,Promoting Interaction by Integrating a Question and Answer Forum with a Digital Textbook,"Wylie, Ruth",3,Rodriguez J.
import2016short_166,Negotiating Academic Communities: Narratives of Life-long Learners,"Fincher, Sally",0,Fincher S.
import2016short_166,Negotiating Academic Communities: Narratives of Life-long Learners,"Dziallas, Sebastian",1,Dziallas S.
import2016short_166,Negotiating Academic Communities: Narratives of Life-long Learners,"Brandes, Ofra",2,Dziallas S.
import2016short_166,Negotiating Academic Communities: Narratives of Life-long Learners,"Kolikant, Yifat Ben-David",3,Brandes O.
import2016short_166,Negotiating Academic Communities: Narratives of Life-long Learners,"Shapiro, R. Benjamin",4,Brandes O.
import2016short_172,Moving ahead in the study of STEM interests and interest development: A new research agenda,"Azevedo, Flávio S.",0,Azevedo F. S.
import2016short_172,Moving ahead in the study of STEM interests and interest development: A new research agenda,"Ahn, June",1,Ahn J.
import2016short_172,Moving ahead in the study of STEM interests and interest development: A new research agenda,"Mann, Michele J.",2,Ahn J.
import2016short_172,Moving ahead in the study of STEM interests and interest development: A new research agenda,"Dorph, Rena",3,Mann M. J.
import2016short_172,Moving ahead in the study of STEM interests and interest development: A new research agenda,"Dorph, Rena",3,Mann M. J.
import2016short_172,Moving ahead in the study of STEM interests and interest development: A new research agenda,"Cannady, Matthew A.",4,Mann M. J.
import2016short_172,Moving ahead in the study of STEM interests and interest development: A new research agenda,"Cannady, Matthew A.",4,Mann M. J.
import2016short_172,Moving ahead in the study of STEM interests and interest development: A new research agenda,"Lee, Victor R.",5,Dorph R.
import2016short_172,Moving ahead in the study of STEM interests and interest development: A new research agenda,"Cain, Ryan",6,Dorph R.
import2016short_172,Moving ahead in the study of STEM interests and interest development: A new research agenda,"Bell, Philip",7,Cannady M. A.
import2015short_393,From Lurking to Participatory Spectatorship: Understanding Affordances of the Dota 2 Noob Stream,"Georgen, Chris",0,Georgen C.
import2015short_393,From Lurking to Participatory Spectatorship: Understanding Affordances of the Dota 2 Noob Stream,"Duncan, Sean C.",1,Duncan S. C.
import2015short_393,From Lurking to Participatory Spectatorship: Understanding Affordances of the Dota 2 Noob Stream,"Cook, Lucas",2,Duncan S. C.
import2018_205,Researcher or Fellow Citizen? Looking for a Role Model in the Humanities ,"Pedersen, Alex Young",0,Pedersen A. Y.
import2018_205,Researcher or Fellow Citizen? Looking for a Role Model in the Humanities ,"Caviglia, Francesco",1,Caviglia F.
import2018_211,Learning With Multi-representational Texts in a Second Language. An Eye-tracking Investigation,"Jaafar, Nurjanah Mohd",0,Jaafar N. M.
import2018_211,Learning With Multi-representational Texts in a Second Language. An Eye-tracking Investigation,"Jaafar, Nurjanah Mohd",0,Jaafar N. M.
import2018_211,Learning With Multi-representational Texts in a Second Language. An Eye-tracking Investigation,"Ainsworth, Shaaron",1,Ainsworth S.
import2018_211,Learning With Multi-representational Texts in a Second Language. An Eye-tracking Investigation,"Ainsworth, Shaaron",1,Ainsworth S.
import2018_211,Learning With Multi-representational Texts in a Second Language. An Eye-tracking Investigation,"van Heuven, Walter",2,Ainsworth S.
import2018_211,Learning With Multi-representational Texts in a Second Language. An Eye-tracking Investigation,"van Heuven, Walter",2,Ainsworth S.
import2018_239,Qualitative Measures of Equity in Small Groups,"Archibeque, Benjamin Archibeque",0,Archibeque B. A.
import2018_239,Qualitative Measures of Equity in Small Groups,"Kustusch, Mary Bridget",1,Kustusch M. B.
import2018_239,Qualitative Measures of Equity in Small Groups,"Genz, Florian",2,Kustusch M. B.
import2018_239,Qualitative Measures of Equity in Small Groups,"Franklin, Scott",3,Genz F.
import2018_239,Qualitative Measures of Equity in Small Groups,"Sayre, Eleanor C",4,Genz F.
