,key_words_rak,key_words_tf_idf
0,",teacher expectations affect student outcomes,preliminary data analysis suggests students,knowledge lower income students bring,data include annual surveys,role models begetting future role,women entering stem fields tend,latina mothers advice based,institution support undergraduate stem education,nonstereotypical role models develop,larger negative stereotyping discourse,stereotypical” role models develop,proleptic references include stories,navigate stem institutions contributing,national education longitudinal study,salient social categories began",",stem,women,instructors,role,college,identity,models,youth,positioning,trajectories,positioned,imagined,program,university,identification"
1,",date types generation strategies,“biggest design challenge” samuel stated,pass involved identifying important resources,driving technically oriented design work,social injustices loom large,fairly vague technical challenge,specific data generation strategy,data analysis involved multiple stages,exposing oppressive narratives experienced,final phase involved writing,fairly wide open task,pro football star hangs,productive project launching space,author productive starting places,fostering positive peer relationships",",youth,community,making,spaces,stem,youths,practices,design,space,becoming,light,points,club,new,social"
2,,",epistemic agency,epistemic,ms,agency,light,mr,teachers,curriculum,space,claims,unit,decisions,uncertainty,model,curriculum materials"
3,,",ideas,energy,network,phenomena,network analysis,coherence,measure,integrated,knowledge,measuring,literacy,integration,networks,explain,scientific"
4,,",complex systems,complex,systems,kapur,cognitive,conceptual,socio,complexity,conceptual change,perspectives,human,perspective,social,theoretical,university"
5,",students applied newly learned knowledge,hsd post hoc test revealed,exams largely evenly spread,higher level math selfefficacy tend,learning analytics method offers,online lecture commonly consisted,regulated learning model proposed,essential selfregulatory learning behaviors,anova analysis results showed,flipped undergraduate math courses,study included 16 flipped sessions,class online learning emphasizes,group 2 perceive higher math,performance trajectory groups generated,behavioral log data demonstrates",",exam,self,performance,metacognitive,self efficacy,group,semester,students group,strategy,efficacy,class,math,regulated,behaviors,mean"
6,,",tasks,assessment,energy,science,assessments,teachers,proficiency,task,disciplinary,core,performance,knowledge,dimensional,ratings,design"
7,",whiteness saturates everyday school life,haviland identified discursive techniques involved,racially diverse project team instantiated,intentional collective professional responsibility,paper presents empirical examples,national mathematics advisory panel,predominantly african american children,primary discursive mechanisms functioned,racially diverse research team,white institutional spaces reified,white institutional space couples,define white institutional space,areas mathematics education informed,identifying white educational discourse,maintain white institutional space",",white,mathematics,institutional,education,race,pd,martin,project,color,space,discursive,scholars,team,transcript,racial"
8,",urban nonprofit stem learning center,local undergraduate computer science majors,bears recognizable perceptual similarity,high school robotics instructor,making dynamic processes perceptually,exploring additional ways programming,highlighted text shows speech,blue dots show gaze,role multimodal communication plays,make dynamic phenomena perceptible,numerous investigations appearing,iconic image schemas,bas ica lly,white pa ge,black arrows show",",code,programming,instructors,gesture,static,resources,hand,computer,gestures,index,dynamic,line,embodied,left,indices"
9,,",writing,scripts,collaborative,individual,tools,process,cscl,higher education,complex,contextual,internal,scaffold,collaboration,awareness,investigated"
10,",potentially productive conceptual metaphorical categories,functions helps constrain investigations “,metaphors provided meaningful insights,examining theses texts,initial categorization scheme,considered legitimate approaches,exists “standard units”,develop sophisticated scientific understanding,gravitational force exerted,define conceptual metaphors,national research council,systems models includes,pulleys provide mechanical,justify representational systems,prior knowledge varies",",ngss,metaphor,dimensional,phenomena,understanding,nrc,documents,rules,understandings,states,language,science,lead,perspectives,concepts"
11,,",historical,history,digital,textbook,primary,affordances,documents,source,interactive,implementation,high school,media,thinking,technology,multiple"
12,",robotic platforms naturally support,deep cognitive processes fostered,dimension / ability + effort,s12 answered “quinn shape,robotic agent strengthens users,broader pedagogical agent literature,students explicitly mentioned liking quinn,users reported higher feelings,domain cheat sheet reviewed,/ ability + effort,questions included teachingcentric scenarios,attribution questionnaire probed student attributions,students individually left class,quinn exhibit playful affect,robotic teachable agent platform",",quinn,effort,agent,robot,message,said,ability,student,feel,dimension,teaching,incorrect,outcomes,felt,hard"
13,",extrinsic motivation scale measured compliance,emotional mechanisms driving epistemic processes,similarly consistent pattern emerged,positive activating epistemic emotions act,predicting extrinsic motivation reached,epistemic emotions effect complex reasoning,intrinsic motivation positively predicted task,excitement positively predicted intrinsic motivation,identified motivation subscale referred,negative deactivating epistemic emotion,negative activating epistemic emotions,intrinsic motivation scale assessed,negative deactivating emotion boredom,motivational variables mediated relations,situational motivation scale",",emotions,epistemic,motivation,intrinsic,task,motivational,performance,variables,reasoning,negative,proof,positively,predicted,consequently,complex"
14,",statistical sequencing procedure previously,statistical sequencing procedure,current study utilized time,stamped log data,extensive logging database,provide valuable insight,interactive strategy training,provided valuable insight,current study aims,afford learning scientists,state transition likelihoods,intelligent tutoring system,multiple training sessions,initial results presented,generative practice environments",",game,features,current study,within,games,patterns,transition,system,practice,interact,choices,interactions,generative,current,training"
15,",based science instruction promotes meaningful,time teacher dashboard showing learner,time docent tablet application screen,simply browsing information passively,educational data mining technique,broader learning sciences community,realto notification system informs,teachers identify student engagement patterns,guiding student progress grows,activities students performed concurrently,design process involving teachers,high school physics students,require active teacher participation,information boxes display averages,detailed showing class progress",",real time,teachers,tablet,teacher,real,symposium,time,visualizations,progress,linn,activities,student,classroom,information,wise"
