,Source_name,Target_name
0,"Bereiter, Carl","Zhang, Jianwei"
1,"Abbott, Robert D.","Lee, Nathanie"
2,"Rummel, Nikol","Blair, Kristen P."
3,"Enyedy, Noel","Froehlich, Jon"
4,"Chinn, Clark","Sandoval, William A."
5,"Klopfer, Eric","Horn, Mike"
6,"Georgen, Chris","Walker, Justice Toshiba"
7,"Hmelo-Silver, Cindy","Wise, Alyssa"
8,"Enyedy, Noel","Brown, David"
9,"Beauvineau, Yves","Williams, Michelle"
10,"Xie, Charles","Vieira, Camilo"
11,"Jackson, Jonathan","Constantin, Ana- Maria"
12,"Sagy, Ornit","Virk, Satyugjit"
13,"Elinich, Karen","Tabak, Iris"
14,"Slotta, James D.","Perritano, Anthony"
15,"Tzou, Carrie","Siyahhan, Sinem"
16,"Saucerman, Jenny","Binzak, John V."
17,"Sylvan, Elisabeth","Strawhacker, Amanda"
18,"Teo, Chew Lee","Seitamaa-Hakkarainen, Pirita"
19,"Tammi, Tuure","Clarke, Sherice"
20,"del Castillo, Fernando Diaz","Montané, Mireia"
21,"Reiser, Brian J.","Gomez, Kimberley"
22,"Bolzer, Markus","McNamara, Danielle S."
23,"Shapiro, R. Benjamin","Sorensen, Clara"
24,"Choi, Sung-Youn","Krajcik, Joseph"
25,"Touioui, Ferdous","Thompson, Jessica"
26,"Koschmann, Timothy","Stevens, Reed"
27,"Slotta, James D.","Charles, Elizabeth S."
28,"Lee, Victoria","Xia, Lei"
29,"Sarmiento, Juan Pablo","Osborne, Jonathan"
30,"Bumbacher, Engin","Danish, Joshua"
31,"Krist, Christina","Hilppö, Jaakko"
32,"Schmidt, Ani","Allen, Shawndra"
33,"Lakhani, Heena","Davis, Katie"
34,"Rosé, Carolyn Penstein","Martin, Seth A."
35,"Leftheriotis, Ioannis","Giannakos, Michail"
36,"Montané, Mireia","Chen, Bodong"
37,"Dugdale, Michael","Kapur, Manu"
38,"Penuel, Bill","Schreurs, Bieke"
39,"Rusk, Natalie","Elinich, Karen"
40,"Leiba, Moshe","Bolzer, Markus"
41,"Recker, Mimi","Telhan, Orkan"
42,"Mäkitalo, Åsa","Rajala, Antti"
43,"Blikstein, Paulo","Humburg, Megan"
44,"Bolzer, Markus","Körndle, Hermann"
45,"van den Ende, Joan","Godinez, Erick Velazquez"
46,"Rothschuh, Stefan","Caceres, Zulay Diaz"
47,"Williams, Joseph","Hills, Thomas"
48,"McGinty, Megan","Medin, Douglas L."
49,"Segal, Avi","Rummel, Nikol"
50,"Norooz, Leyla","Washington, Peter"
51,"Marshall, Stefanie Marshall","Penuel, Bill"
52,"Gane, Brian Douglas","Pellegrino, James W"
53,"Lund, Kristine","Fischer, Frank"
54,"Lyu, Xiaoxin","Weiser, Gary"
55,"Corning, Wiley","Holland, Jennifer"
56,"Malmberg, Jonna","Fischer, Frank"
57,"Dahn, Maggie","Brown, David"
58,"Linn, Marcia","Applebaum, Lauren"
59,"Renshaw, Peter","Fynes-Clinton, Elizabeth"
60,"Wiese, Elaine Stampfer","Roll, Ido"
